t,i,k_argmin,min_de_any,k_argmax,max_de_all,n_nearest
1,308,136,5,136,5,1
1,317,136,10,136,10,1
2,308,136,5,136,5,1
2,317,136,10,136,10,1
3,308,136,5,136,5,1
3,317,136,10,136,10,1
4,308,136,5,136,5,1
4,317,136,10,136,10,1
5,308,136,5,136,5,1
5,317,136,10,136,10,1
6,308,136,5,136,5,1
6,317,136,10,136,10,1
7,308,136,5,136,5,1
7,317,136,10,136,10,1
8,308,136,5,136,5,1
8,317,136,10,136,10,1
9,308,136,5,136,5,1
9,317,136,10,136,10,1
10,308,136,5,136,5,1
10,317,136,10,136,10,1
11,308,136,5,136,5,1
11,317,136,10,136,10,1
12,308,136,5,136,5,1
12,317,136,10,136,10,1
13,308,136,5,136,5,1
13,317,136,10,136,10,1
14,308,136,5,136,5,1
14,317,136,10,136,10,1
15,308,136,5,136,5,1
15,317,136,10,136,10,1
16,308,136,5,136,5,1
16,317,136,15,136,15,1
17,308,136,5,136,5,1
17,317,136,15,136,15,1
18,308,136,5,136,5,1
18,317,136,15,136,15,1
19,308,136,5,136,5,1
19,317,136,15,136,15,1
20,308,136,5,136,5,1
20,317,136,15,136,15,1
21,308,136,5,136,5,1
21,317,136,15,136,15,1
22,308,136,5,136,5,1
22,317,136,15,136,15,1
23,308,136,5,136,5,1
23,317,136,15,136,15,1
24,308,136,5,136,5,1
24,317,136,15,136,15,1
25,308,136,5,136,5,1
25,317,136,15,136,15,1
26,308,136,5,136,5,1
26,317,136,15,136,15,1
27,308,136,5,136,5,1
27,317,136,15,136,15,1
28,308,136,5,136,5,1
28,317,136,15,136,15,1
29,308,136,5,136,5,1
29,317,136,15,136,15,1
30,308,136,5,136,5,1
30,317,136,15,136,15,1
31,308,136,5,136,5,1
31,317,136,15,136,15,1
32,308,136,5,136,5,1
32,317,136,15,136,15,1
33,308,136,5,136,5,1
33,317,136,15,136,15,1
34,308,136,5,136,5,1
34,317,136,15,136,15,1
35,308,136,5,136,5,1
35,317,136,15,136,15,1
36,308,136,5,136,5,1
36,317,136,15,136,15,1
37,308,136,5,136,5,1
37,317,136,15,136,15,1
38,308,136,5,136,5,1
38,317,136,15,136,15,1
39,308,136,5,136,5,1
39,317,136,15,136,15,1
40,308,136,5,136,5,1
40,317,136,20,136,20,1
41,308,136,5,136,5,1
41,317,136,15,136,15,1
42,308,136,5,136,5,1
42,317,136,20,136,20,1
43,308,136,5,136,5,1
43,317,136,20,136,20,1
44,308,136,5,136,5,1
44,317,136,15,136,15,1
45,308,136,5,136,5,1
45,317,136,15,136,15,1
46,308,136,5,136,5,1
46,317,136,15,136,15,1
47,308,136,5,136,5,1
47,317,136,15,136,15,1
48,308,136,5,136,5,1
48,317,136,15,136,15,1
49,308,136,5,136,5,1
49,317,136,15,136,15,1
50,308,136,5,136,5,1
50,317,136,10,136,10,1
51,308,136,5,136,5,1
51,317,136,10,136,10,1
52,308,136,5,136,5,1
52,317,136,10,136,10,1
53,308,136,5,136,5,1
53,317,136,10,136,10,1
54,308,136,5,136,5,1
54,317,136,10,136,10,1
55,308,136,5,136,5,1
55,317,136,10,136,10,1
56,308,136,5,136,5,1
56,317,136,10,136,10,1
57,308,136,5,136,5,1
57,317,136,10,136,10,1
58,308,136,5,136,5,1
58,317,136,10,136,10,1
59,308,136,5,136,5,1
59,317,136,10,136,10,1
60,308,136,5,136,5,1
60,317,136,10,136,10,1
61,308,136,5,136,5,1
61,317,136,10,136,10,1
62,308,136,5,136,5,1
62,317,136,10,136,10,1
63,308,136,5,136,5,1
63,317,136,10,136,10,1
64,308,136,5,136,5,1
64,317,136,10,136,10,1
65,308,136,5,136,5,1
65,317,136,10,136,10,1
66,308,136,5,136,5,1
66,317,136,10,136,10,1
67,308,136,5,136,5,1
67,317,136,10,136,10,1
68,308,136,5,136,5,1
68,317,136,10,136,10,1
69,308,136,5,136,5,1
69,317,136,10,136,10,1
70,308,136,5,136,5,1
70,317,136,10,136,10,1
71,308,136,5,136,5,1
71,317,136,10,136,10,1
72,308,136,5,136,5,1
72,317,136,10,136,10,1
73,308,136,5,136,5,1
73,317,136,10,136,10,1
74,308,136,5,136,5,1
74,317,136,10,136,10,1
