t,i,k,dist_km,tau_steps,de_tochg
1,308,136,4.325058144274983,1,5
1,317,136,17.064885273580643,3,10
2,308,136,4.325058144274983,1,5
2,317,136,17.064885273580643,3,10
3,308,136,4.325058144274983,1,5
3,317,136,17.064885273580643,3,10
4,308,136,4.325058144274983,1,5
4,317,136,17.064885273580643,3,10
5,308,136,4.325058144274983,1,5
5,317,136,17.064885273580643,3,10
6,308,136,4.325058144274983,1,5
6,317,136,17.064885273580643,3,10
7,308,136,4.325058144274983,1,5
7,317,136,17.064885273580643,3,10
8,308,136,4.325058144274983,1,5
8,317,136,17.064885273580643,3,10
9,308,136,4.325058144274983,1,5
9,317,136,17.064885273580643,3,10
10,308,136,4.325058144274983,1,5
10,317,136,17.064885273580643,3,10
11,308,136,4.325058144274983,1,5
11,317,136,17.064885273580643,3,10
12,308,136,4.325058144274983,1,5
12,317,136,17.064885273580643,3,10
13,308,136,4.325058144274983,1,5
13,317,136,17.064885273580643,3,10
14,308,136,4.325058144274983,1,5
14,317,136,17.064885273580643,3,10
15,308,136,4.325058144274983,1,5
15,317,136,17.064885273580643,3,10
16,308,136,4.325058144274983,1,5
16,317,136,17.064885273580643,3,15
17,308,136,4.325058144274983,1,5
17,317,136,17.064885273580643,3,15
18,308,136,4.325058144274983,1,5
18,317,136,17.064885273580643,3,15
19,308,136,4.325058144274983,1,5
19,317,136,17.064885273580643,3,15
20,308,136,4.325058144274983,1,5
20,317,136,17.064885273580643,3,15
21,308,136,4.325058144274983,1,5
21,317,136,17.064885273580643,3,15
22,308,136,4.325058144274983,1,5
22,317,136,17.064885273580643,3,15
23,308,136,4.325058144274983,1,5
23,317,136,17.064885273580643,3,15
24,308,136,4.325058144274983,1,5
24,317,136,17.064885273580643,3,15
25,308,136,4.325058144274983,1,5
25,317,136,17.064885273580643,3,15
26,308,136,4.325058144274983,1,5
26,317,136,17.064885273580643,3,15
27,308,136,4.325058144274983,1,5
27,317,136,17.064885273580643,3,15
28,308,136,4.325058144274983,1,5
28,317,136,17.064885273580643,3,15
29,308,136,4.325058144274983,1,5
29,317,136,17.064885273580643,3,15
30,308,136,4.325058144274983,1,5
30,317,136,17.064885273580643,3,15
31,308,136,4.325058144274983,1,5
31,317,136,17.064885273580643,3,15
32,308,136,4.325058144274983,1,5
32,317,136,17.064885273580643,3,15
33,308,136,4.325058144274983,1,5
33,317,136,17.064885273580643,3,15
34,308,136,4.325058144274983,1,5
34,317,136,17.064885273580643,3,15
35,308,136,4.325058144274983,1,5
35,317,136,17.064885273580643,3,15
36,308,136,4.325058144274983,1,5
36,317,136,17.064885273580643,3,15
37,308,136,4.325058144274983,1,5
37,317,136,17.064885273580643,3,15
38,308,136,4.325058144274983,1,5
38,317,136,17.064885273580643,3,15
39,308,136,4.325058144274983,1,5
39,317,136,17.064885273580643,3,15
40,308,136,4.325058144274983,1,5
40,317,136,17.064885273580643,3,20
41,308,136,4.325058144274983,1,5
41,317,136,17.064885273580643,3,15
42,308,136,4.325058144274983,1,5
42,317,136,17.064885273580643,3,20
43,308,136,4.325058144274983,1,5
43,317,136,17.064885273580643,3,20
44,308,136,4.325058144274983,1,5
44,317,136,17.064885273580643,3,15
45,308,136,4.325058144274983,1,5
45,317,136,17.064885273580643,3,15
46,308,136,4.325058144274983,1,5
46,317,136,17.064885273580643,3,15
47,308,136,4.325058144274983,1,5
47,317,136,17.064885273580643,3,15
48,308,136,4.325058144274983,1,5
48,317,136,17.064885273580643,3,15
49,308,136,4.325058144274983,1,5
49,317,136,17.064885273580643,3,15
50,308,136,4.325058144274983,1,5
50,317,136,17.064885273580643,3,10
51,308,136,4.325058144274983,1,5
51,317,136,17.064885273580643,3,10
52,308,136,4.325058144274983,1,5
52,317,136,17.064885273580643,3,10
53,308,136,4.325058144274983,1,5
53,317,136,17.064885273580643,3,10
54,308,136,4.325058144274983,1,5
54,317,136,17.064885273580643,3,10
55,308,136,4.325058144274983,1,5
55,317,136,17.064885273580643,3,10
56,308,136,4.325058144274983,1,5
56,317,136,17.064885273580643,3,10
57,308,136,4.325058144274983,1,5
57,317,136,17.064885273580643,3,10
58,308,136,4.325058144274983,1,5
58,317,136,17.064885273580643,3,10
59,308,136,4.325058144274983,1,5
59,317,136,17.064885273580643,3,10
60,308,136,4.325058144274983,1,5
60,317,136,17.064885273580643,3,10
61,308,136,4.325058144274983,1,5
61,317,136,17.064885273580643,3,10
62,308,136,4.325058144274983,1,5
62,317,136,17.064885273580643,3,10
63,308,136,4.325058144274983,1,5
63,317,136,17.064885273580643,3,10
64,308,136,4.325058144274983,1,5
64,317,136,17.064885273580643,3,10
65,308,136,4.325058144274983,1,5
65,317,136,17.064885273580643,3,10
66,308,136,4.325058144274983,1,5
66,317,136,17.064885273580643,3,10
67,308,136,4.325058144274983,1,5
67,317,136,17.064885273580643,3,10
68,308,136,4.325058144274983,1,5
68,317,136,17.064885273580643,3,10
69,308,136,4.325058144274983,1,5
69,317,136,17.064885273580643,3,10
70,308,136,4.325058144274983,1,5
70,317,136,17.064885273580643,3,10
71,308,136,4.325058144274983,1,5
71,317,136,17.064885273580643,3,10
72,308,136,4.325058144274983,1,5
72,317,136,17.064885273580643,3,10
73,308,136,4.325058144274983,1,5
73,317,136,17.064885273580643,3,10
74,308,136,4.325058144274983,1,5
74,317,136,17.064885273580643,3,10
75,308,136,4.325058144274983,1,5
75,317,136,17.064885273580643,3,10
76,308,136,4.325058144274983,1,5
76,317,136,17.064885273580643,3,10
77,308,136,4.325058144274983,1,5
77,317,136,17.064885273580643,3,10
78,308,136,4.325058144274983,1,5
78,317,136,17.064885273580643,3,10
79,308,136,4.325058144274983,1,5
79,317,136,17.064885273580643,3,10
80,308,136,4.325058144274983,1,5
80,317,136,17.064885273580643,3,10
81,308,136,4.325058144274983,1,5
81,317,136,17.064885273580643,3,10
82,308,136,4.325058144274983,1,5
82,317,136,17.064885273580643,3,10
83,308,136,4.325058144274983,1,5
83,317,136,17.064885273580643,3,10
84,308,136,4.325058144274983,1,5
84,317,136,17.064885273580643,3,10
85,308,136,4.325058144274983,1,5
85,317,136,17.064885273580643,3,10
86,308,136,4.325058144274983,1,5
86,317,136,17.064885273580643,3,10
87,308,136,4.325058144274983,1,5
